スポット名,電話番号,URL,カナ,メインジャンル名,サブジャンル名,エリア名,本文,ic:住所_表記,住所2,ic:定型住所_区,郵便番号,緯度,経度,電話番号,営業時間,URL,アクセス,定休日,料金,駐車場,バリアフリー対応（観光）
神戸映画資料館,078-754-8039,http://www.kobe-eiga.net/,コウベエイガシリョウカン,アート・カルチャー,歴史,兵庫（新開地）・新長田・長田,神戸映画資料館では、映写機、ポスター、懐かしい雑誌、専門書などなど、映画に関するあらゆる資料のコレクションを見ることができます。また、併設のミニシアターではほぼ毎週末に上映会が開催され、懐かしい名画から最新のドキュメンタリーまで楽しめます。,神戸市長田区腕塚町5-5-1-201,アスタくにづか1番館北棟2F,長田区,653-0036,34.654366,135.146227,078-754-8039,金～火 10:30～18:00,http://www.kobe-eiga.net/,JR 新長田駅から南へ徒歩5分,水 / 木,閲覧室:会員制 / 正会員(1年間)￥1500 / 1day(1日)￥100,近隣に駐車場あり,車椅子入場可<>エレベーターあり<>盲導犬入場OK<>介助犬入場OK
神戸酒心館,078-841-1121,http://www.shushinkan.co.jp,コウベシュシンカン,酒蔵,体験・見学・クラフト,灘・東灘,創業1751年。清酒「福寿」の蔵元・神戸酒心館では、手造りによる蔵出しのお酒を、きき酒のうえ購入できます。また、手造りの豆富や自家製そばが味わえる蔵の料亭「さかばやし」、コンサートや落語などの催しを行う「神戸酒心館ホール」も併設され、文化的な時をゆっくり過ごすのにぴったり。旬のお酒を愛でながら四季折々の花を楽しめる庭もあり、海外からのお客様にもおすすめです。(英語対応も可),神戸市東灘区御影塚町1-8-17,,東灘区,658-0044,34.709759,135.248512,078-841-1121,【販売店舗・東明蔵】10:00～18:00 / 【蔵の料亭・さかばやし】昼 11:30～14:00(L.O).、夜 17:30～21:00(L.O),http://www.shushinkan.co.jp,阪神 石屋川駅から南西に徒歩 約8分,東明蔵は年始のみ(1/1、1/2、1/3)　さかばやしは(12/31、1/1、1/2、1/3),無料,無料専用駐車場あり,車椅子入場可<>バリアフリートイレ<>車椅子利用可能トイレ
神戸市立小磯記念美術館　　,078-857-5880,http://www.city.kobe.lg.jp/koisomuseum/,コウベシリツ コイソキネンビジュツカン,アート・カルチャー,,ポートアイランド・六甲アイランド,神戸に生まれ、生涯を通して神戸を制作の拠点とした洋画家・小磯良平の作品を展示する美術館。油彩・素描・版画など約2800点を入れ替え展示し、作品の解説を行うハイビジョンギャラリーも設置。小磯芸術を心ゆくまで楽しむことができます。また、美術館の中庭には小磯良平が40年間使ったアトリエを移築、復元しています。,神戸市東灘区向洋町中5-7,,東灘区,658-0032,34.692814,135.267214,078-857-5880,10:00～17:00 / 特別展開催中の金曜　10:00～18:00,http://www.city.kobe.lg.jp/koisomuseum/,JR 住吉駅または阪神 魚崎駅で乗換え、六甲ライナー「アイランド北口駅」下車、西へ徒歩すぐ,月(月が祝休日の時はその翌日),小・中生　￥100 / 高・大生　￥150 / 大人　￥200　※特別展は別料金,近隣に駐車場あり,エレベーターあり<>バリアフリートイレ<>車椅子入場可<>車椅子利用可能トイレ
有馬玩具博物館,078-903-6971,http://www.arima-toys.jp,アリマガングハクブツカン,体験・見学・クラフト,アート・カルチャー,有馬（温泉）,有馬玩具博物館には、豊かな発想とデザイン性に優れた良質なおもちゃが、国内外から集められています。約4000点のコレクションを、3階から6階までの展示室でテーマごとに紹介。5階のプレイスペースでは、木のおもちゃやゲームを実際に触って遊ぶことができます。博物館は、入館当日に限り終日出入りが自由です。気に入ったおもちゃを見つけたら、何度でも楽しんでいただけます。,神戸市北区有馬町797,,北区,651-1401,34.797044,135.247876,078-903-6971,9:30～18:00(最終入館17:30),http://www.arima-toys.jp,神戸電鉄 有馬温泉駅から徒歩5分,不定休(お問い合わせください),大人(中学生以上)￥800 / 小人(3歳～12歳)￥500 / 3歳未満 無料,近隣に駐車場あり,車椅子利用可能トイレ<>車椅子入場可<>エレベーターあり
神戸どうぶつ王国,078-302-8899,http://www.kobe-oukoku.com/,コウベドウブツオウコク,体験・見学・クラフト,自然・生き物・アウトドア,ポートアイランド・六甲アイランド,花と動物と人とのふれあい共生パーク。熱帯性のスイレンや、ベゴニアなどのハンギングフラワーが皆さんをお出迎え。珍しい鳥たちやカピバラ、アルパカなどの動物たちとふれあいも楽しめる。迫力感動のバードパフォーマンスショーも大人気。園内は全天候型で、雨の日でも安心。また、バリアフリーに配慮したフラットな地形で、障がい者対応トイレ（だれでもトイレ）も完備。家族や友達みんなで楽しめるスポットです。2015年4月25日初の屋外エリア「アウトサイドパーク」がオープン。解放感満点の屋外でドッグパフォーマンスショーがご覧いただけます。,神戸市中央区港島南町7-1-9,,中央区,650-0047,34.653806,135.222943,078-302-8899,平日10:00～17:00(入園締切16:30)土日祝日9:30～17:30(入園締切17:00),http://www.kamoltd.co.jp/kobe/,京コンピュータ前（神戸どうぶつ王国）駅下車すぐ / 阪神高速・京橋ICから神戸空港方面へ約15分,木曜日  (但し春休み、GW、夏休み、年末年始は休まず営業),大人 ￥1500 / 小人(小学生)￥800 / シルバー(65歳以上)￥1100 / 幼児（4歳・5歳）300円,有料専用駐車場あり,エレベーターあり<>車椅子入場可<>バリアフリートイレ<>車椅子利用可能トイレ
神戸フルーツ・フラワーパーク,078-954-1010,http://fruit-flowerpark.jp/,コウベフルーツ・フラワーパーク,体験・見学・クラフト,神社・仏閣・庭園,北神戸,神戸フルーツ・フラワーパークは北神戸の豊かな自然の中で中世ヨーロッパのルネッサンス様式の美しい建物や庭園を中心に数多くの施設が点在する「花と果実のテーマパーク」です。四季折々の花が咲き、夏から秋にかけてフルーツ狩りも楽しむことができます。園内には遊園地やバーベキュー場、源泉かけ流し(加温)天然温泉、ホテルなどがありますので家族でゆっくり自然を楽しみたい方にはおすすめです。,神戸市北区大沢町上大沢2150,,北区,651-1522,34.845774,135.191766,078-954-1000,9:00～17:00 ※施設により異なる,http://fruitflowerpark.web.fc2.com/,車:六甲北有料道路「大沢IC」よりすぐ,年中無休　※施設により異なる,無料,有料専用駐車場あり,エレベーターあり<>車椅子利用可能トイレ<>車椅子入場可<>盲導犬入場OK<>介助犬入場OK
神戸市水の科学博物館,078-351-4488,http://www.kobe-mizuhaku.org/,コウベシ ミズノカガクハクブツカン,体験・見学・クラフト,,北野・新神戸（市街地北部）,神戸市水の科学博物館は水をテーマにした博物館。3Dシアターの映像や水を使った理科の実験見学のほか、水について楽しく遊びながら学習できる展示物があります。建物はドイツルネッサンス風の重厚かつ優美な外観で、建築史上価値ある建物として高く評価されています。周辺は桜の名所としても有名です。,神戸市兵庫区楠谷町37-1,,中央区,652-0004,34.693349,135.175132,078-351-4488,火～日　9:30～16:30,http://www.kobe-mizuhaku.org/,各線 三宮駅または神戸駅から市バス(7)系統「楠谷町」下車北へすぐ,月(月が休日の場合が翌日)　,大人 ￥200 / 小人(6才以上～18才未満)￥100,駐車場なし（ただし、身体障害者用駐車場は2台あり。バス駐車可（要予約））,エレベーターあり<>バリアフリートイレ<>車椅子利用可能トイレ<>盲導犬入場OK<>介助犬入場OK<>車椅子入場可
灘浜サイエンススクエア,078-882-8136,http://www.kobelco.co.jp/nadahama/science/,ナダハマ サイエンススクエア,体験・見学・クラフト,自然・生き物・アウトドア,灘・東灘,灘浜サイエンススクエアは、遊びながら科学や技術の不思議が体感できる学習施設です。製鉄・発電・エネルギー・環境をテーマにした館内約30点の展示には、解説や使い方の説明がほどんどないのが特徴。製鉄と発電のプロセスがバーチャル体験できるアトラクション「ライドシアター」も大人気です!(要現地予約/身長制限あり) 毎週土日・祝日の14:00からは「ものしりひろばの実験屋台」にて科学実験の実演も楽しめます。,神戸市灘区灘浜東町2,,灘区,657-0863,34.702115,135.236584,078-882-8136,9:30～16:30（入館は16:00まで）,http://www.kobelco.co.jp/nadahama/science/,阪神 大石駅から南へ徒歩約12分,月(祝日の場合は翌平日),無料,無料専用駐車場あり,車椅子利用可能トイレ<>車椅子入場可<>エレベーターあり<>盲導犬入場OK<>介助犬入場OK
橋の科学館,078-784-3339,http://www.hashinokagakukan.jp/,ハシノカガクカン,体験・見学・クラフト,,須磨・垂水・舞子,橋の科学館では、明石海峡大橋をはじめとする本州四国架橋の建設に使われた最高水準の橋梁架橋技術を一堂に集め、わかりやすく紹介したサイエンスミュージアムです。3D立体映像シアターでは、最高水準の技術を迫力の3D映像で放映。くつろぎのスペースでは、雄大な明石海峡大橋や淡路島の景色をゆったりと眺めることができます。,神戸市垂水区東舞子町4-114,,垂水区,655-0047,34.631623,135.032673,078-784-3339,9:15～17:00 / 【7/20～8/31】9:15～18:00 / 【12/1～2/28】9:15～16:30　※最終入館 閉館30分前 ※ゴールデンウィーク、7/20～8/31は無休,http://www.hashinokagakukan.jp/,JR 舞子駅・山陽 舞子公園駅下車、徒歩約5分,毎週月曜日（祝日の場合は翌日）,大人 ￥310 / 小・中学生 ￥150 / 団体20名以上 大人 ￥270 / 小・中学生 ￥130,近隣に駐車場あり,車椅子利用可能トイレ<>車椅子入場可
切手文化博物館,078-904-0024,http://www.kitte-museum-arima.jp/,キッテブンカハクブツカン,歴史,,有馬（温泉）,切手文化博物館は、郵便創業時から現代まで140余年の間に発行された普通切手・記念切手等を網羅した、切手の常設博物館です。日本最初の切手「龍文切手」や、日本切手の中で最も貴重な「手彫切手」、明治時代に実際の郵便作業に用いられた品々など、ユニークなコレクションの数々を展示。期間限定の特別展も随時開催され、江戸時代の趣ある「土蔵造り」の館内で、切手や郵便文化の奥深い魅力を楽しめます。,神戸市北区有馬町663-3,,北区,651-1401,34.798766,135.250943,078-904-0024,10:00～16:00　(入館は15:30まで),http://www.kitte-museum-arima.jp/,神戸電鉄 有馬温泉駅より徒歩15分  / 阪急バス「有馬温泉」停留所より徒歩10分,火(祝日の場合は翌日),大人 ￥500 / 中・高生 ￥200 / 小学生以下 無料,無料専用駐車場あり,車椅子利用可能トイレ<>車椅子入場可
